id,name,city,country,continent,climate,budget,group_size,vibe,best_months,typical_cost_per_day_usd,activities,description,tags
Bali-Indonesia-518488,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$$$,Group,Food,"October, July, June",510,"fine dining, street food","Bali, Indonesia blends food and temperate vibes—great for group trips. Expect fine dining, street food. Best in October, July, June.",Food;Temperate;Asia
Bali-Indonesia-625834,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Couple,Relaxation,"November, March, July",64,"spas, sunbathing","Bali, Indonesia blends relaxation and tropical vibes—great for couple trips. Expect spas, sunbathing. Best in November, March, July.",Relaxation;Tropical;Asia
Bali-Indonesia-117970,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$$$,Solo,Historic,"November, February, September",424,"castles, old towns","Bali, Indonesia blends historic and temperate vibes—great for solo trips. Expect castles, old towns. Best in November, February, September.",Historic;Temperate;Asia
Bali-Indonesia-112579,"Bali, Indonesia",Bali,Indonesia,Asia,Temperate,$,Group,Nature,"January, May, September",98,"wildlife, waterfalls","Bali, Indonesia blends nature and temperate vibes—great for group trips. Expect wildlife, waterfalls. Best in January, May, September.",Nature;Temperate;Asia
Bali-Indonesia-513340,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Family,Nature,"March, September, November",60,"national parks, waterfalls","Bali, Indonesia blends nature and tropical vibes—great for family trips. Expect national parks, waterfalls. Best in March, September, November.",Nature;Tropical;Asia
Bali-Indonesia-768460,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$,Family,Adventure,"April, January, December",121,"safaris, hiking","Bali, Indonesia blends adventure and tropical vibes—great for family trips. Expect safaris, hiking. Best in April, January, December.",Adventure;Tropical;Asia
Bali-Indonesia-915812,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Couple,Historic,"March, November, August",520,"ancient sites, old towns","Bali, Indonesia blends historic and tropical vibes—great for couple trips. Expect ancient sites, old towns. Best in March, November, August.",Historic;Tropical;Asia
Bali-Indonesia-474417,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$$$,Couple,City,"December, May, July",514,"neighborhood walks, shopping","Bali, Indonesia blends city and tropical vibes—great for couple trips. Expect neighborhood walks, shopping. Best in December, May, July.",City;Tropical;Asia
Bali-Indonesia-8540,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Solo,Relaxation,"June, January, October",54,"sunbathing, slow cafés","Bali, Indonesia blends relaxation and tropical vibes—great for solo trips. Expect sunbathing, slow cafés. Best in June, January, October.",Relaxation;Tropical;Asia
Bali-Indonesia-509993,"Bali, Indonesia",Bali,Indonesia,Asia,Tropical,$,Solo,Relaxation,"January, June, February",82,"sunbathing, yoga retreats","Bali, Indonesia blends relaxation and tropical vibes—great for solo trips. Expect sunbathing, yoga retreats. Best in January, June, February.",Relaxation;Tropical;Asia
Kyoto-Japan-691993,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$$$,Group,Nightlife,"April, August, July",299,"bars, clubs","Kyoto, Japan blends nightlife and tropical vibes—great for group trips. Expect bars, clubs. Best in April, August, July.",Nightlife;Tropical;Asia
Kyoto-Japan-840482,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$,Group,City,"August, January, February",186,"architecture, shopping","Kyoto, Japan blends city and temperate vibes—great for group trips. Expect architecture, shopping. Best in August, January, February.",City;Temperate;Asia
Kyoto-Japan-486100,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Couple,Relaxation,"September, August, March",57,"yoga retreats, spas","Kyoto, Japan blends relaxation and tropical vibes—great for couple trips. Expect yoga retreats, spas. Best in September, August, March.",Relaxation;Tropical;Asia
Kyoto-Japan-175389,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$$,Solo,Nightlife,"January, November, September",160,"clubs, rooftops","Kyoto, Japan blends nightlife and tropical vibes—great for solo trips. Expect clubs, rooftops. Best in January, November, September.",Nightlife;Tropical;Asia
Kyoto-Japan-279085,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$,Couple,City,"July, January, March",199,"galleries, architecture","Kyoto, Japan blends city and temperate vibes—great for couple trips. Expect galleries, architecture. Best in July, January, March.",City;Temperate;Asia
Kyoto-Japan-772476,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$,Group,Historic,"March, April, May",248,"ancient sites, ruins","Kyoto, Japan blends historic and temperate vibes—great for group trips. Expect ancient sites, ruins. Best in March, April, May.",Historic;Temperate;Asia
Kyoto-Japan-166080,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$$$,Family,Food,"January, December, October",521,"local specialties, food tours","Kyoto, Japan blends food and tropical vibes—great for family trips. Expect local specialties, food tours. Best in January, December, October.",Food;Tropical;Asia
Kyoto-Japan-934533,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Solo,Adventure,"October, February, April",100,"volcano treks, hiking","Kyoto, Japan blends adventure and tropical vibes—great for solo trips. Expect volcano treks, hiking. Best in October, February, April.",Adventure;Tropical;Asia
Kyoto-Japan-703258,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$$$,Solo,Nightlife,"July, November, October",354,"live music, bars","Kyoto, Japan blends nightlife and tropical vibes—great for solo trips. Expect live music, bars. Best in July, November, October.",Nightlife;Tropical;Asia
Kyoto-Japan-10767,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$$,Group,Beach,"March, November, May",118,"clear waters, surfing","Kyoto, Japan blends beach and tropical vibes—great for group trips. Expect clear waters, surfing. Best in March, November, May.",Beach;Tropical;Asia
Kyoto-Japan-257150,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Couple,Historic,"September, May, March",96,"castles, ruins","Kyoto, Japan blends historic and tropical vibes—great for couple trips. Expect castles, ruins. Best in September, May, March.",Historic;Tropical;Asia
Kyoto-Japan-582542,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$,Group,Beach,"September, May, October",92,"snorkeling, island hopping","Kyoto, Japan blends beach and temperate vibes—great for group trips. Expect snorkeling, island hopping. Best in September, May, October.",Beach;Temperate;Asia
Kyoto-Japan-635210,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Family,Nature,"February, December, September",58,"wildlife, lakes","Kyoto, Japan blends nature and tropical vibes—great for family trips. Expect wildlife, lakes. Best in February, December, September.",Nature;Tropical;Asia
Kyoto-Japan-445151,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$,Family,Nightlife,"September, August, May",80,"clubs, rooftops","Kyoto, Japan blends nightlife and temperate vibes—great for family trips. Expect clubs, rooftops. Best in September, August, May.",Nightlife;Temperate;Asia
Kyoto-Japan-579478,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Family,Nature,"March, November, May",68,"wildlife, waterfalls","Kyoto, Japan blends nature and tropical vibes—great for family trips. Expect wildlife, waterfalls. Best in March, November, May.",Nature;Tropical;Asia
Kyoto-Japan-580364,"Kyoto, Japan",Kyoto,Japan,Asia,Tropical,$,Solo,City,"December, March, September",77,"architecture, shopping","Kyoto, Japan blends city and tropical vibes—great for solo trips. Expect architecture, shopping. Best in December, March, September.",City;Tropical;Asia
Kyoto-Japan-262650,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$,Solo,Culture,"May, June, January",83,"theaters, museums","Kyoto, Japan blends culture and temperate vibes—great for solo trips. Expect theaters, museums. Best in May, June, January.",Culture;Temperate;Asia
Kyoto-Japan-26990,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$$,Group,Relaxation,"October, March, April",461,"sunbathing, spas","Kyoto, Japan blends relaxation and temperate vibes—great for group trips. Expect sunbathing, spas. Best in October, March, April.",Relaxation;Temperate;Asia
Kyoto-Japan-234238,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$,Couple,Culture,"May, March, February",220,"historic districts, museums","Kyoto, Japan blends culture and temperate vibes—great for couple trips. Expect historic districts, museums. Best in May, March, February.",Culture;Temperate;Asia
Kyoto-Japan-293136,"Kyoto, Japan",Kyoto,Japan,Asia,Temperate,$$,Family,Nightlife,"April, December, January",184,"bars, rooftops","Kyoto, Japan blends nightlife and temperate vibes—great for family trips. Expect bars, rooftops. Best in April, December, January.",Nightlife;Temperate;Asia
Seoul-South Korea-188241,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Group,Relaxation,"November, September, June",166,"spas, yoga retreats","Seoul, South Korea blends relaxation and temperate vibes—great for group trips. Expect spas, yoga retreats. Best in November, September, June.",Relaxation;Temperate;Asia
Seoul-South Korea-605596,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$,Group,Nature,"June, December, July",97,"national parks, wildlife","Seoul, South Korea blends nature and tropical vibes—great for group trips. Expect national parks, wildlife. Best in June, December, July.",Nature;Tropical;Asia
Seoul-South Korea-74372,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$,Group,Nightlife,"January, September, November",67,"bars, rooftops","Seoul, South Korea blends nightlife and temperate vibes—great for group trips. Expect bars, rooftops. Best in January, September, November.",Nightlife;Temperate;Asia
Seoul-South Korea-343027,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$$,Solo,Beach,"December, May, September",459,"island hopping, clear waters","Seoul, South Korea blends beach and temperate vibes—great for solo trips. Expect island hopping, clear waters. Best in December, May, September.",Beach;Temperate;Asia
Seoul-South Korea-316568,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$$,Couple,City,"April, July, November",541,"shopping, neighborhood walks","Seoul, South Korea blends city and temperate vibes—great for couple trips. Expect shopping, neighborhood walks. Best in April, July, November.",City;Temperate;Asia
Seoul-South Korea-464638,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$$,Family,City,"April, July, October",213,"neighborhood walks, shopping","Seoul, South Korea blends city and tropical vibes—great for family trips. Expect neighborhood walks, shopping. Best in April, July, October.",City;Tropical;Asia
Seoul-South Korea-706477,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$$,Couple,Nightlife,"November, February, May",370,"live music, clubs","Seoul, South Korea blends nightlife and temperate vibes—great for couple trips. Expect live music, clubs. Best in November, February, May.",Nightlife;Temperate;Asia
Seoul-South Korea-806819,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$,Couple,Nature,"January, December, April",94,"lakes, waterfalls","Seoul, South Korea blends nature and tropical vibes—great for couple trips. Expect lakes, waterfalls. Best in January, December, April.",Nature;Tropical;Asia
Seoul-South Korea-688926,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Couple,Relaxation,"December, July, August",137,"yoga retreats, spas","Seoul, South Korea blends relaxation and temperate vibes—great for couple trips. Expect yoga retreats, spas. Best in December, July, August.",Relaxation;Temperate;Asia
Seoul-South Korea-479634,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$$,Couple,Adventure,"March, September, August",131,"hiking, zip-lining","Seoul, South Korea blends adventure and tropical vibes—great for couple trips. Expect hiking, zip-lining. Best in March, September, August.",Adventure;Tropical;Asia
Seoul-South Korea-941790,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$$,Family,Culture,"August, October, September",478,"historic districts, theaters","Seoul, South Korea blends culture and temperate vibes—great for family trips. Expect historic districts, theaters. Best in August, October, September.",Culture;Temperate;Asia
Seoul-South Korea-288936,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Family,Culture,"April, November, May",161,"historic districts, theaters","Seoul, South Korea blends culture and temperate vibes—great for family trips. Expect historic districts, theaters. Best in April, November, May.",Culture;Temperate;Asia
Seoul-South Korea-146095,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$$$,Family,Historic,"April, May, June",291,"castles, old towns","Seoul, South Korea blends historic and tropical vibes—great for family trips. Expect castles, old towns. Best in April, May, June.",Historic;Tropical;Asia
Seoul-South Korea-569969,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$$,Couple,Culture,"December, April, February",184,"historic districts, local markets","Seoul, South Korea blends culture and tropical vibes—great for couple trips. Expect historic districts, local markets. Best in December, April, February.",Culture;Tropical;Asia
Seoul-South Korea-501149,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$,Couple,Historic,"July, December, October",64,"ruins, castles","Seoul, South Korea blends historic and temperate vibes—great for couple trips. Expect ruins, castles. Best in July, December, October.",Historic;Temperate;Asia
Seoul-South Korea-231080,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Group,Adventure,"July, September, November",224,"safaris, zip-lining","Seoul, South Korea blends adventure and temperate vibes—great for group trips. Expect safaris, zip-lining. Best in July, September, November.",Adventure;Temperate;Asia
Seoul-South Korea-653483,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Solo,Nature,"July, June, December",132,"wildlife, lakes","Seoul, South Korea blends nature and temperate vibes—great for solo trips. Expect wildlife, lakes. Best in July, June, December.",Nature;Temperate;Asia
Seoul-South Korea-53727,"Seoul, South Korea",Seoul,South Korea,Asia,Tropical,$$,Solo,Food,"February, November, July",146,"fine dining, local specialties","Seoul, South Korea blends food and tropical vibes—great for solo trips. Expect fine dining, local specialties. Best in February, November, July.",Food;Tropical;Asia
Seoul-South Korea-265525,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$$,Couple,Nature,"August, June, November",207,"lakes, wildlife","Seoul, South Korea blends nature and temperate vibes—great for couple trips. Expect lakes, wildlife. Best in August, June, November.",Nature;Temperate;Asia
Seoul-South Korea-260295,"Seoul, South Korea",Seoul,South Korea,Asia,Temperate,$,Solo,Relaxation,"June, April, February",100,"spas, yoga retreats","Seoul, South Korea blends relaxation and temperate vibes—great for solo trips. Expect spas, yoga retreats. Best in June, April, February.",Relaxation;Temperate;Asia
Bangkok-Thailand-488623,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$$,Couple,Nightlife,"April, March, August",361,"clubs, live music","Bangkok, Thailand blends nightlife and tropical vibes—great for couple trips. Expect clubs, live music. Best in April, March, August.",Nightlife;Tropical;Asia
Bangkok-Thailand-711250,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$,Solo,Nature,"March, May, February",76,"national parks, wildlife","Bangkok, Thailand blends nature and temperate vibes—great for solo trips. Expect national parks, wildlife. Best in March, May, February.",Nature;Temperate;Asia
Bangkok-Thailand-892597,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$$,Couple,City,"February, October, April",404,"architecture, neighborhood walks","Bangkok, Thailand blends city and temperate vibes—great for couple trips. Expect architecture, neighborhood walks. Best in February, October, April.",City;Temperate;Asia
Bangkok-Thailand-863276,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$,Group,Relaxation,"November, June, February",207,"slow cafés, spas","Bangkok, Thailand blends relaxation and tropical vibes—great for group trips. Expect slow cafés, spas. Best in November, June, February.",Relaxation;Tropical;Asia
Bangkok-Thailand-683054,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$,Family,Historic,"November, August, March",233,"old towns, ruins","Bangkok, Thailand blends historic and tropical vibes—great for family trips. Expect old towns, ruins. Best in November, August, March.",Historic;Tropical;Asia
Bangkok-Thailand-293477,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Group,Nature,"December, October, May",122,"waterfalls, national parks","Bangkok, Thailand blends nature and temperate vibes—great for group trips. Expect waterfalls, national parks. Best in December, October, May.",Nature;Temperate;Asia
Bangkok-Thailand-223423,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$,Group,Historic,"June, January, August",224,"castles, ruins","Bangkok, Thailand blends historic and tropical vibes—great for group trips. Expect castles, ruins. Best in June, January, August.",Historic;Tropical;Asia
Bangkok-Thailand-90771,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Family,Beach,"October, May, September",148,"snorkeling, island hopping","Bangkok, Thailand blends beach and temperate vibes—great for family trips. Expect snorkeling, island hopping. Best in October, May, September.",Beach;Temperate;Asia
Bangkok-Thailand-309528,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Couple,Nightlife,"December, August, November",123,"rooftops, clubs","Bangkok, Thailand blends nightlife and temperate vibes—great for couple trips. Expect rooftops, clubs. Best in December, August, November.",Nightlife;Temperate;Asia
Bangkok-Thailand-557711,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$$,Couple,Nightlife,"May, November, October",533,"live music, bars","Bangkok, Thailand blends nightlife and temperate vibes—great for couple trips. Expect live music, bars. Best in May, November, October.",Nightlife;Temperate;Asia
Bangkok-Thailand-127516,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$$,Family,Beach,"June, August, May",368,"island hopping, surfing","Bangkok, Thailand blends beach and temperate vibes—great for family trips. Expect island hopping, surfing. Best in June, August, May.",Beach;Temperate;Asia
Bangkok-Thailand-798135,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$,Couple,Nightlife,"April, December, August",77,"live music, rooftops","Bangkok, Thailand blends nightlife and temperate vibes—great for couple trips. Expect live music, rooftops. Best in April, December, August.",Nightlife;Temperate;Asia
Bangkok-Thailand-743411,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$,Couple,Food,"May, April, June",40,"fine dining, local specialties","Bangkok, Thailand blends food and temperate vibes—great for couple trips. Expect fine dining, local specialties. Best in May, April, June.",Food;Temperate;Asia
Bangkok-Thailand-108570,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$,Solo,Food,"January, September, May",225,"fine dining, food tours","Bangkok, Thailand blends food and tropical vibes—great for solo trips. Expect fine dining, food tours. Best in January, September, May.",Food;Tropical;Asia
Bangkok-Thailand-120629,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Group,Adventure,"August, June, March",222,"hiking, rafting","Bangkok, Thailand blends adventure and temperate vibes—great for group trips. Expect hiking, rafting. Best in August, June, March.",Adventure;Temperate;Asia
Bangkok-Thailand-996230,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Solo,Relaxation,"October, November, January",244,"sunbathing, spas","Bangkok, Thailand blends relaxation and temperate vibes—great for solo trips. Expect sunbathing, spas. Best in October, November, January.",Relaxation;Temperate;Asia
Bangkok-Thailand-473398,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$,Solo,Nature,"September, July, October",64,"wildlife, waterfalls","Bangkok, Thailand blends nature and tropical vibes—great for solo trips. Expect wildlife, waterfalls. Best in September, July, October.",Nature;Tropical;Asia
Bangkok-Thailand-994620,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$$,Group,Historic,"May, October, November",300,"ruins, castles","Bangkok, Thailand blends historic and temperate vibes—great for group trips. Expect ruins, castles. Best in May, October, November.",Historic;Temperate;Asia
Bangkok-Thailand-429361,"Bangkok, Thailand",Bangkok,Thailand,Asia,Tropical,$$,Solo,Nightlife,"March, April, December",100,"clubs, rooftops","Bangkok, Thailand blends nightlife and tropical vibes—great for solo trips. Expect clubs, rooftops. Best in March, April, December.",Nightlife;Tropical;Asia
Bangkok-Thailand-969790,"Bangkok, Thailand",Bangkok,Thailand,Asia,Temperate,$$,Solo,Historic,"April, May, November",159,"old towns, ruins","Bangkok, Thailand blends historic and temperate vibes—great for solo trips. Expect old towns, ruins. Best in April, May, November.",Historic;Temperate;Asia
Singapore-Singapore-63535,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$,Solo,Nature,"September, April, March",118,"waterfalls, national parks","Singapore, Singapore blends nature and tropical vibes—great for solo trips. Expect waterfalls, national parks. Best in September, April, March.",Nature;Tropical;Asia
Singapore-Singapore-989467,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$$,Family,Culture,"August, February, December",456,"theaters, historic districts","Singapore, Singapore blends culture and temperate vibes—great for family trips. Expect theaters, historic districts. Best in August, February, December.",Culture;Temperate;Asia
Singapore-Singapore-28121,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$,Solo,Nature,"October, January, July",164,"waterfalls, lakes","Singapore, Singapore blends nature and temperate vibes—great for solo trips. Expect waterfalls, lakes. Best in October, January, July.",Nature;Temperate;Asia
Singapore-Singapore-545173,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$$,Solo,Relaxation,"November, May, October",490,"spas, yoga retreats","Singapore, Singapore blends relaxation and tropical vibes—great for solo trips. Expect spas, yoga retreats. Best in November, May, October.",Relaxation;Tropical;Asia
Singapore-Singapore-350499,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$,Group,Historic,"November, August, February",66,"old towns, ancient sites","Singapore, Singapore blends historic and temperate vibes—great for group trips. Expect old towns, ancient sites. Best in November, August, February.",Historic;Temperate;Asia
Singapore-Singapore-477919,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$,Family,Beach,"July, August, May",42,"clear waters, island hopping","Singapore, Singapore blends beach and tropical vibes—great for family trips. Expect clear waters, island hopping. Best in July, August, May.",Beach;Tropical;Asia
Singapore-Singapore-485417,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$,Family,Relaxation,"February, July, September",238,"spas, slow cafés","Singapore, Singapore blends relaxation and temperate vibes—great for family trips. Expect spas, slow cafés. Best in February, July, September.",Relaxation;Temperate;Asia
Singapore-Singapore-576898,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$,Family,City,"October, August, November",57,"architecture, galleries","Singapore, Singapore blends city and tropical vibes—great for family trips. Expect architecture, galleries. Best in October, August, November.",City;Tropical;Asia
Singapore-Singapore-326845,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$,Group,Culture,"February, January, October",140,"local markets, theaters","Singapore, Singapore blends culture and temperate vibes—great for group trips. Expect local markets, theaters. Best in February, January, October.",Culture;Temperate;Asia
Singapore-Singapore-873565,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$$,Group,Food,"February, April, December",581,"local specialties, street food","Singapore, Singapore blends food and tropical vibes—great for group trips. Expect local specialties, street food. Best in February, April, December.",Food;Tropical;Asia
Singapore-Singapore-479975,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$$,Family,Culture,"September, May, July",374,"historic districts, local markets","Singapore, Singapore blends culture and temperate vibes—great for family trips. Expect historic districts, local markets. Best in September, May, July.",Culture;Temperate;Asia
Singapore-Singapore-357385,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$,Couple,Food,"October, September, March",206,"street food, fine dining","Singapore, Singapore blends food and tropical vibes—great for couple trips. Expect street food, fine dining. Best in October, September, March.",Food;Tropical;Asia
Singapore-Singapore-565742,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$,Family,Food,"December, May, October",68,"local specialties, street food","Singapore, Singapore blends food and temperate vibes—great for family trips. Expect local specialties, street food. Best in December, May, October.",Food;Temperate;Asia
Singapore-Singapore-245907,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$,Group,Historic,"August, June, April",198,"ancient sites, castles","Singapore, Singapore blends historic and temperate vibes—great for group trips. Expect ancient sites, castles. Best in August, June, April.",Historic;Temperate;Asia
Singapore-Singapore-133378,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$,Group,City,"December, July, November",109,"shopping, galleries","Singapore, Singapore blends city and tropical vibes—great for group trips. Expect shopping, galleries. Best in December, July, November.",City;Tropical;Asia
Singapore-Singapore-430893,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$,Group,Food,"February, September, August",49,"street food, food tours","Singapore, Singapore blends food and temperate vibes—great for group trips. Expect street food, food tours. Best in February, September, August.",Food;Temperate;Asia
Singapore-Singapore-399468,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$,Family,Culture,"June, October, July",236,"museums, local markets","Singapore, Singapore blends culture and tropical vibes—great for family trips. Expect museums, local markets. Best in June, October, July.",Culture;Tropical;Asia
Singapore-Singapore-456052,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$$,Solo,Beach,"October, February, April",296,"island hopping, snorkeling","Singapore, Singapore blends beach and temperate vibes—great for solo trips. Expect island hopping, snorkeling. Best in October, February, April.",Beach;Temperate;Asia
Singapore-Singapore-308618,"Singapore, Singapore",Singapore,Singapore,Asia,Tropical,$$,Couple,Relaxation,"December, May, January",114,"spas, sunbathing","Singapore, Singapore blends relaxation and tropical vibes—great for couple trips. Expect spas, sunbathing. Best in December, May, January.",Relaxation;Tropical;Asia
Singapore-Singapore-83804,"Singapore, Singapore",Singapore,Singapore,Asia,Temperate,$$,Couple,Beach,"April, September, July",144,"surfing, snorkeling","Singapore, Singapore blends beach and temperate vibes—great for couple trips. Expect surfing, snorkeling. Best in April, September, July.",Beach;Temperate;Asia
Hoi An-Vietnam-943573,"Hoi An, Vietnam",Hoi An,Vietnam,Asia,Tropical,$$,Couple,City,"April, August, May",102,"galleries, shopping","Hoi An, Vietnam blends city and tropical vibes—great for couple trips. Expect galleries, shopping. Best in April, August, May.",City;Tropical;Asia
